1,0,0,0,2,-6,8,2,0,
2,2,0,0,-2,0,0,2,0,
3,0,-6,8,2,-12,15,2,0,
4,0,-6,8,2,-3,8,2,0,
5,0,-12,15,2,-20,17,2,0,
6,0,-12,15,2,-5,44,2,0,
7,0,-3,8,2,-5,44,2,0,
8,0,-3,8,2,0,8,2,0,
9,2,-5,44,2,-5,44,-2,0,
10,0,-20,17,2,-30,8,2,0,
11,2,-20,17,2,-20,17,-2,0,
12,0,0,8,2,10,17,2,0,
13,0,0,8,2,-2,-3,2,0,
14,0,-30,8,2,-30,-18,2,0,
15,2,-30,8,2,-30,8,-2,0,
16,0,10,17,2,20,8,2,0,
17,2,10,17,2,10,17,-2,0,
18,0,-2,-3,2,12,-4,2,0,
19,0,-2,-3,2,-5,-14,2,0,
20,0,-30,-18,2,-30,-43,2,0,
21,2,-30,-18,2,-30,-18,-2,0,
22,0,20,8,2,20,-18,2,0,
23,2,20,8,2,20,8,-2,0,
24,2,12,-4,2,12,-4,-2,0,
25,0,-5,-14,2,1,-14,2,0,
26,0,-5,-14,2,-5,-16,2,0,
27,2,-30,-43,2,-30,-43,-2,0,
28,0,20,-18,2,20,-43,2,0,
29,2,20,-18,2,20,-18,-2,0,
30,2,1,-14,2,1,-14,-2,0,
31,0,-5,-16,2,-5,-20,2,0,
32,0,-5,-16,2,-13,-16,2,0,
33,2,20,-43,2,20,-43,-2,0,
34,0,-5,-20,2,-5,-24,2,0,
35,0,-5,-20,2,-14,-20,2,0,
36,2,-13,-16,2,-13,-16,-2,0,
37,0,-5,-24,2,3,-24,2,0,
38,0,-5,-24,2,-5,-29,2,0,
39,2,-14,-20,2,-14,-20,-2,0,
40,2,3,-24,2,3,-24,-2,0,
41,0,-5,-29,2,0,-33,2,0,
42,0,-5,-29,2,-10,-33,2,0,
43,0,0,-33,2,13,-28,2,0,
44,0,0,-33,2,13,-41,2,0,
45,0,-10,-33,2,-23,-28,2,0,
46,0,-10,-33,2,-23,-41,2,0,
47,2,13,-28,2,13,-28,-2,0,
48,0,13,-41,2,13,-78,2,0,
49,2,13,-41,2,13,-41,-2,0,
50,0,-23,-41,2,-23,-78,2,0,
51,2,-23,-28,2,-23,-28,-2,0,
52,2,-23,-41,2,-23,-41,-2,0,
53,0,13,-78,2,13,-131,2,0,
54,2,13,-78,2,13,-78,-2,0,
55,0,-23,-78,2,-23,-131,2,0,
56,2,-23,-78,2,-23,-78,-2,0,
57,0,-4,4,2,-14,4,2,0,
58,2,-4,4,-2,-4,4,2,0,
59,2,13,-131,2,13,-131,-2,0,
60,2,-23,-131,2,-23,-131,-2,0,
61,2,-14,4,2,-14,4,-2,0,
62,1,13,-131,-2,13,-78,-2,0,
63,1,-23,-131,-2,-23,-78,-2,0,
64,1,20,-43,-2,20,-18,-2,0,
65,1,-30,-43,-2,-30,-18,-2,0,
66,1,13,-78,-2,13,-41,-2,0,
67,1,-23,-78,-2,-23,-41,-2,0,
68,1,20,-18,-2,20,8,-2,0,
69,1,-30,-18,-2,-30,8,-2,0,
70,1,13,-28,-2,0,-33,-2,0,
71,1,13,-41,-2,0,-33,-2,0,
72,1,-23,-28,-2,-10,-33,-2,0,
73,1,-23,-41,-2,-10,-33,-2,0,
74,1,20,8,-2,10,17,-2,0,
75,1,-30,8,-2,-20,17,-2,0,
76,1,1,-14,-2,-8,-18,-2,0,
77,1,-14,-20,-2,-8,-18,-2,0,
78,1,0,-33,-2,-5,-29,-2,0,
79,1,-10,-33,-2,-5,-29,-2,0,
80,1,10,17,-2,2,15,-2,0,
81,1,-5,44,-2,2,15,-2,0,
82,1,-20,17,-2,-12,15,-2,0,
83,1,-5,44,-2,-12,15,-2,0,
84,1,-8,-18,-2,-13,-16,-2,0,
85,1,-5,-29,-2,-5,-24,-2,0,
86,1,3,-24,-2,-5,-24,-2,0,
87,1,12,-4,-2,-5,8,-2,0,
88,1,2,15,-2,-5,8,-2,0,
89,1,-12,15,-2,-5,8,-2,0,
90,1,-13,-16,-2,-5,-16,-2,0,
91,1,-5,-24,-2,-5,-16,-2,0,
92,1,-5,8,-2,-4,4,-2,0,
93,1,-5,-16,-2,-4,4,-2,0,
94,1,-14,4,-2,0,0,-2,0,
95,1,0,0,2,-4,4,2,0,